word,count
"[", 47
"]", 47
"_московіи_", 1
"_московія_", 1
"a", 58
"abide", 1
"about", 8
"academia", 2
"academie", 1
"accept", 1
"accepted", 2
"accepting", 1
"access", 10
"accessed", 1
"accessible", 1
"accordance", 2
"active", 2
"actual", 1
"adam", 1
"addition", 1
"additional", 4
"additions", 1
"address", 1
"addresses", 1
"adventures", 1
"against", 1
"aged", 1
"agent", 1
"agree", 9
"agreed", 1
"agreement", 18
"aigle", 1
"ak", 1
"aleksandr", 1
"all", 18
"aller", 1
"allow", 1
"almost", 2
"alone", 1
"already", 1
"also", 2
"alteration", 1
"alternate", 1
"an", 4
"and", 71
"any", 37
"anyone", 5
"anything", 2
"anywhere", 2
"apostol", 3
"apostola", 1
"appear", 1
"appearing", 1
"appears", 1
"applicable", 3
"apply", 1
"approach", 1
"archive", 13
"are", 20
"arise", 1
"arnshtam", 1
"array", 1
"as", 11
"ascii", 2
"assistance", 1
"associated", 8
"at", 17
"attached", 1
"audience", 1
"author", 1
"available", 2
"avec", 1
"away", 3
"b", 3
"baronis", 1
"based", 2
"basile", 1
"be", 19
"because", 1
"before", 2
"beginning", 1
"below", 3
"beschreibung", 1
"biblioteca", 1
"bienheureux", 1
"binary", 1
"blanchisseuses", 1
"both", 2
"bound", 2
"breach", 2
"business", 2
"but", 5
"by", 22
"bénédiction", 1
"c", 5
"calculate", 1
"calculated", 1
"can", 10
"cannot", 4
"card", 1
"carry", 1
"catalogus", 1
"cause", 2
"cavaliers", 2
"cease", 1
"certain", 2
"change", 1
"character", 1
"charge", 6
"charges", 1
"charitable", 1
"charities", 1
"check", 2
"checks", 1
"chief", 1
"choose", 1
"cinnabar", 2
"city", 1
"claim", 1
"clearly", 1
"clocher", 1
"codes", 1
"collection", 4
"come", 1
"commentarii", 2
"commercial", 1
"committed", 1
"company", 1
"compilation", 1
"compliance", 5
"comply", 6
"complying", 3
"compressed", 1
"computer", 2
"computers", 2
"concept", 2
"concerning", 2
"confirmation", 1
"confirmed", 1
"consequential", 1
"considerable", 2
"constant", 1
"contact", 4
"contain", 2
"containing", 1
"contract", 1
"contributions", 2
"convert", 1
"copied", 2
"copies", 7
"copy", 12
"copying", 4
"copyright", 14
"corporation", 1
"corrupt", 1
"cosmographei", 1
"cost", 3
"costs", 2
"could", 1
"countries", 1
"country", 2
"course", 1
"created", 2
"creating", 4
"creation", 1
"credit", 1
"critical", 1
"curieuse", 1
"current", 1
"czar", 1
"célébration", 1
"d", 1
"d'elzevir", 1
"d'ivan", 1
"d'état", 1
"damage", 2
"damaged", 1
"damages", 4
"dame", 1
"das", 3
"data", 1
"date", 3
"david", 2
"days", 4
"de", 10
"december", 1
"deductible", 1
"defect", 3
"defective", 3
"defects", 1
"deletions", 1
"demand", 1
"depends", 1
"derivative", 3
"derive", 1
"derived", 1
"des", 4
"described", 1
"despite", 1
"destroy", 2
"detach", 1
"determine", 1
"different", 1
"direct", 1
"directly", 1
"director", 1
"disclaim", 1
"disclaimer", 3
"disclaimers", 1
"discontinue", 1
"discover", 1
"discovered", 1
"disk", 1
"display", 1
"displayed", 1
"displaying", 4
"distribute", 6
"distributed", 6
"distributing", 7
"distribution", 6
"distributor", 1
"divertissement", 1
"do", 17
"does", 2
"domain", 8
"donate", 4
"donation", 1
"donations", 15
"donors", 1
"doral", 1
"downloading", 1
"dp.rastko.net", 2
"dr", 2
"du", 2
"e", 23
"each", 1
"easily", 1
"easy", 1
"eaux", 1
"ebook", 11
"ebooks", 7
"edition", 1
"editions", 4
"editor", 1
"educational", 1
"effort", 2
"efforts", 3
"ein", 1
"either", 1
"elect", 1
"electronic", 27
"electronically", 2
"email", 3
"employee", 1
"employees", 2
"en", 1
"encoding", 1
"end", 2
"ensuring", 1
"entity", 3
"entrée", 1
"equipment", 3
"errors", 1
"especially", 1
"et", 2
"etc", 2
"europe", 2
"even", 2
"ex", 2
"except", 3
"exclusion", 1
"executive", 1
"exempt", 2
"exists", 1
"expend", 1
"expense", 1
"expenses", 2
"explanation", 2
"exporting", 1
"express", 1
"extent", 1
"f", 10
"f3", 1
"facility", 1
"fairbanks", 1
"federal", 2
"fee", 8
"fees", 4
"few", 1
"file", 2
"files", 2
"financial", 1
"fitness", 1
"fix", 1
"fleuries", 1
"folio", 2
"follow", 1
"following", 3
"for", 26
"form", 4
"format", 4
"formats", 2
"forth", 8
"found", 3
"foundation", 22
"foundation's", 3
"free", 5
"freely", 4
"from", 15
"frontispice", 1
"frères", 1
"full", 13
"fundraising", 1
"further", 1
"future", 3
"fête", 1
"fоlіо", 1
"gbnewby", 1
"general", 3
"generations", 2
"gentibus", 1
"georgy", 1
"give", 4
"given", 1
"goals", 1
"gothus", 1
"govern", 1
"grand", 2
"granted", 1
"gratefully", 1
"gregory", 1
"gross", 1
"group", 1
"gutenberg", 87
"gutenberg.net", 1
"harmless", 1
"hart", 2
"has", 2
"have", 5
"he", 3
"hear", 1
"help", 3
"herbenstain", 1
"herberstein", 2
"hieronymi", 1
"historia", 1
"historicocriticus", 1
"hold", 1
"holder", 4
"hope", 1
"how", 4
"however", 1
"http", 10
"hundreds", 1
"hypertext", 1
"i", 10
"identification", 1
"identify", 1
"if", 20
"ii", 2
"illustration", 28
"illustrator", 1
"immediate", 2
"implied", 2
"important", 1
"imposed", 1
"impériale", 2
"in", 61
"inaccurate", 1
"incidental", 1
"include", 1
"included", 3
"includes", 1
"including", 9
"incomplete", 1
"increasing", 1
"indemnify", 1
"indemnity", 1
"indicate", 1
"indicating", 1
"indirect", 1
"indirectly", 1
"individual", 4
"information", 8
"infringement", 1
"inostrantsev", 3
"intellectual", 2
"internal", 1
"international", 1
"interpreted", 1
"invalidity", 1
"irs", 1
"is", 26
"it", 15
"its", 6
"janvier", 1
"jean", 1
"jeune", 2
"jeunes", 1
"jour", 1
"keep", 2
"keeping", 2
"kind", 1
"know", 1
"korb", 4
"kresentyevich", 1
"l'ambassade", 1
"l'eglise", 1
"la", 4
"lake", 1
"language", 1
"law", 2
"laws", 8
"le", 8
"learn", 1
"legal", 2
"legally", 1
"les", 4
"letter", 1
"liability", 3
"liable", 1
"liberi", 1
"library", 1
"libris", 1
"librorum", 1
"license", 16
"licensed", 1
"lieu", 2
"life", 1
"limitation", 3
"limited", 5
"linked", 1
"links", 3
"literary", 13
"livre", 1
"located", 4
"locations", 2
"long", 1
"loose", 1
"lot", 1
"lukomsky", 1
"länder", 1
"m", 1
"machine", 1
"mail", 1
"main", 1
"maintaining", 1
"make", 3
"makes", 1
"many", 2
"marked", 2
"martinovich", 1
"mathie", 1
"maximum", 1
"may", 15
"means", 3
"medium", 5
"meet", 1
"melan", 1
"merchantibility", 1
"merchants", 1
"met", 1
"method", 1
"methods", 1
"michael", 2
"middle", 1
"mission", 4
"mississippi", 1
"modification", 1
"modified", 1
"money", 3
"more", 1
"moreau", 2
"morts", 1
"moscou", 1
"moscovia", 5
"moscovian", 1
"moscovie", 2
"moscovite", 1
"moscovites", 3
"moscoviticarum", 2
"most", 3
"much", 1
"munhausen", 1
"munster", 1
"must", 10
"myechow", 1
"n", 1
"name", 1
"named", 1
"nearly", 2
"necessarily", 1
"need", 1
"negligence", 1
"network", 1
"new", 3
"newby", 1
"newsletter", 1
"nikolayevich", 3
"no", 10
"non", 1
"nonproprietary", 1
"north", 1
"not", 21
"notice", 3
"notifies", 1
"nouvelle", 1
"number", 3
"numerous", 1
"obsolete", 1
"obtain", 3
"obtaining", 2
"occur", 1
"ocherki", 1
"octobre", 1
"oder", 1
"of", 121
"offers", 1
"office", 2
"official", 3
"often", 1
"olaus", 1
"old", 2
"olearius", 9
"on", 11
"one", 2
"online", 6
"only", 2
"opportunities", 1
"opportunity", 1
"or", 78
"organized", 1
"original", 1
"originator", 1
"other", 14
"others", 1
"our", 4
"out", 1
"outdated", 1
"outside", 3
"owed", 1
"owner", 5
"owns", 2
"p", 1
"page", 2
"pages", 1
"paid", 6
"paper", 1
"paperwork", 1
"paques", 1
"par", 1
"paragraph", 11
"paragraphs", 3
"part", 4
"particular", 2
"particularly", 1
"party", 1
"pavel", 3
"pay", 1
"paying", 2
"payments", 3
"people", 3
"perform", 1
"performances", 1
"performed", 1
"performing", 3
"periodic", 1
"permanent", 1
"permission", 7
"permitted", 2
"person", 4
"pg", 1
"pglaf", 1
"pglaf.org", 6
"phrase", 4
"physical", 2
"pierre", 2
"place", 1
"plain", 2
"please", 3
"possessed", 1
"possession", 1
"possibility", 1
"posted", 5
"practically", 1
"predstavlenii", 5
"prepare", 2
"present", 1
"preserve", 1
"prevent", 1
"previous", 1
"principal", 1
"print", 1
"printed", 2
"problem", 1
"processing", 1
"produce", 1
"produced", 3
"production", 1
"professor", 1
"profit", 1
"profits", 1
"prohibition", 1
"project", 87
"prominently", 2
"promoting", 2
"promotion", 1
"proofread", 1
"proofreaders", 2
"property", 2
"proprietary", 1
"protect", 2
"provide", 7
"provided", 4
"providing", 4
"provinces", 1
"provision", 1
"provisions", 1
"public", 9
"publique", 1
"punitive", 1
"purpose", 2
"quarto", 1
"rariorum", 1
"re", 2
"reaching", 1
"read", 3
"readable", 2
"reading", 1
"reasonable", 1
"receipt", 2
"receive", 3
"received", 5
"receiving", 1
"redistribute", 1
"redistributing", 2
"redistribution", 2
"references", 2
"refund", 10
"registered", 2
"regulating", 1
"relation", 1
"release", 1
"remain", 1
"remaining", 1
"remedies", 1
"remove", 1
"removed", 2
"renamed", 1
"replace", 1
"replacement", 5
"reported", 1
"reports", 1
"representations", 1
"request", 1
"require", 1
"required", 1
"requirements", 4
"rerum", 2
"research", 2
"reserve", 1
"restrictions", 2
"return", 3
"returns", 1
"revenue", 1
"right", 4
"rossica", 1
"royalties", 2
"royalty", 3
"rules", 2
"russes", 2
"russia", 1
"russian", 1
"russie", 1
"russland", 3
"s", 4
"salt", 1
"same", 1
"sarmatiis", 1
"scattered", 1
"sceau", 1
"search", 1
"second", 2
"section", 7
"sections", 1
"secure", 1
"sed", 1
"see", 3
"send", 1
