word,count
"[", 5640
"]", 5640
"_московіи_", 120
"_московія_", 120
"a", 6960
"abide", 120
"about", 960
"academia", 240
"academie", 120
"accept", 120
"accepted", 240
"accepting", 120
"access", 1200
"accessed", 120
"accessible", 120
"accordance", 240
"active", 240
"actual", 120
"adam", 120
"addition", 120
"additional", 480
"additions", 120
"address", 120
"addresses", 120
"adventures", 120
"against", 120
"aged", 120
"agent", 120
"agree", 1080
"agreed", 120
"agreement", 2160
"aigle", 120
"ak", 120
"aleksandr", 120
"all", 2160
"aller", 120
"allow", 120
"almost", 240
"alone", 120
"already", 120
"also", 240
"alteration", 120
"alternate", 120
"an", 480
"and", 8520
"any", 4440
"anyone", 600
"anything", 240
"anywhere", 240
"apostol", 360
"apostola", 120
"appear", 120
"appearing", 120
"appears", 120
"applicable", 360
"apply", 120
"approach", 120
"archive", 1560
"are", 2400
"arise", 120
"arnshtam", 120
"array", 120
"as", 1320
"ascii", 240
"assistance", 120
"associated", 960
"at", 2040
"attached", 120
"audience", 120
"author", 120
"available", 240
"avec", 120
"away", 360
"b", 360
"baronis", 120
"based", 240
"basile", 120
"be", 2280
"because", 120
"before", 240
"beginning", 120
"below", 360
"beschreibung", 120
"biblioteca", 120
"bienheureux", 120
"binary", 120
"blanchisseuses", 120
"both", 240
"bound", 240
"breach", 240
"business", 240
"but", 600
"by", 2640
"bénédiction", 120
"c", 600
"calculate", 120
"calculated", 120
"can", 1200
"cannot", 480
"card", 120
"carry", 120
"catalogus", 120
"cause", 240
"cavaliers", 240
"cease", 120
"certain", 240
"change", 120
"character", 120
"charge", 720
"charges", 120
"charitable", 120
"charities", 120
"check", 240
"checks", 120
"chief", 120
"choose", 120
"cinnabar", 240
"city", 120
"claim", 120
"clearly", 120
"clocher", 120
"codes", 120
"collection", 480
"come", 120
"commentarii", 240
"commercial", 120
"committed", 120
"company", 120
"compilation", 120
"compliance", 600
"comply", 720
"complying", 360
"compressed", 120
"computer", 240
"computers", 240
"concept", 240
"concerning", 240
"confirmation", 120
"confirmed", 120
"consequential", 120
"considerable", 240
"constant", 120
"contact", 480
"contain", 240
"containing", 120
"contract", 120
"contributions", 240
"convert", 120
"copied", 240
"copies", 840
"copy", 1440
"copying", 480
"copyright", 1680
"corporation", 120
"corrupt", 120
"cosmographei", 120
"cost", 360
"costs", 240
"could", 120
"countries", 120
"country", 240
"course", 120
"created", 240
"creating", 480
"creation", 120
"credit", 120
"critical", 120
"curieuse", 120
"current", 120
"czar", 120
"célébration", 120
"d", 120
"d'elzevir", 120
"d'ivan", 120
"d'état", 120
"damage", 240
"damaged", 120
"damages", 480
"dame", 120
"das", 360
"data", 120
"date", 360
"david", 240
"days", 480
"de", 1200
"december", 120
"deductible", 120
"defect", 360
"defective", 360
"defects", 120
"deletions", 120
"demand", 120
"depends", 120
"derivative", 360
"derive", 120
"derived", 120
"des", 480
"described", 120
"despite", 120
"destroy", 240
"detach", 120
"determine", 120
"different", 120
"direct", 120
"directly", 120
"director", 120
"disclaim", 120
"disclaimer", 360
"disclaimers", 120
"discontinue", 120
"discover", 120
"discovered", 120
"disk", 120
"display", 120
"displayed", 120
"displaying", 480
"distribute", 720
"distributed", 720
"distributing", 840
"distribution", 720
"distributor", 120
"divertissement", 120
"do", 2040
"does", 240
"domain", 960
"donate", 480
"donation", 120
"donations", 1800
"donors", 120
"doral", 120
"downloading", 120
"dp.rastko.net", 240
"dr", 240
"du", 240
"e", 2760
"each", 120
"easily", 120
"easy", 120
"eaux", 120
"ebook", 1320
"ebooks", 840
"edition", 120
"editions", 480
"editor", 120
"educational", 120
"effort", 240
"efforts", 360
"ein", 120
"either", 120
"elect", 120
"electronic", 3240
"electronically", 240
"email", 360
"employee", 120
"employees", 240
"en", 120
"encoding", 120
"end", 240
"ensuring", 120
"entity", 360
"entrée", 120
"equipment", 360
"errors", 120
"especially", 120
"et", 240
"etc", 240
"europe", 240
"even", 240
"ex", 240
"except", 360
"exclusion", 120
"executive", 120
"exempt", 240
"exists", 120
"expend", 120
"expense", 120
"expenses", 240
"explanation", 240
"exporting", 120
"express", 120
"extent", 120
"f", 1200
"f3", 120
"facility", 120
"fairbanks", 120
"federal", 240
"fee", 960
"fees", 480
"few", 120
"file", 240
"files", 240
"financial", 120
"fitness", 120
"fix", 120
"fleuries", 120
"folio", 240
"follow", 120
