word,count
"ja", 1322
"hän", 483
"oli", 430
"ei", 302
"mutta", 260
"on", 259
"hänen", 224
"että", 193
"the", 181
"he", 162
"olivat", 155
"niin", 153
"kaikki", 146
"joka", 142
"jo", 141
"kuin", 136
"vielä", 132
"of", 121
"taras", 119
"nyt", 114
"vaan", 112
"se", 103
"kun", 99
"olisi", 93
"sillä", 89
"sen", 88
"gutenberg", 87
"heidän", 87
"project", 87
"kasakat", 87
"ollut", 87
"ole", 87
"jotka", 85
"mitä", 83
"to", 81
"andrei", 79
"or", 78
"bulba", 75
"you", 72
"and", 69
"eivät", 68
"sitten", 64
"voi", 63
"kuinka", 62
"koko", 62
"a", 60
"in", 59
"ne", 58
"tm", 56
"hänet", 54
"kasakkain", 53
"vain", 53
"eikä", 52
"minä", 51
"ovat", 51
"häntä", 51
"enää", 49
"ostap", 48
"this", 48
"ettei", 48
"hyvin", 47
"with", 47
"jos", 47
"sitä", 46
"juutalainen", 45
"work", 45
"paljon", 45
"kasakka", 40
"tai", 39
"vanha", 39
"heitä", 39
"pani", 38
"siellä", 38
"sinä", 37
"any", 37
"siinä", 37
"tuo", 36
"hänelle", 36
"pian", 36
"maahan", 36
"jonka", 36
"sinne", 36
"kyllä", 36
"koshevoi", 35
"missä", 35
"heti", 34
"kaksi", 34
"äkkiä", 34
"sanoi", 34
"mitään", 33
"huusi", 33
"siihen", 33
"kauan", 33
"siitä", 32
"aina", 32
"kanssa", 32
"works", 32
"en", 32
"kukaan", 32
"silloin", 32
"vastaan", 32
"seisoi", 31
"aivan", 31
"no", 31
"jankel", 30
"virkkoi", 30
"heidät", 30
"koskentakaiset", 28
"olet", 27
"panit", 27
"itse", 27
"electronic", 27
"mikä", 27
"tämä", 26
"te", 26
"kerran", 26
"for", 26
"niinkuin", 25
"puhui", 25
"katseli", 25
"jota", 25
"alkoi", 25
"ikäänkuin", 25
"miehen", 24
"me", 24
"is", 24
"koskaan", 24
"myös", 23
"kasakan", 23
"olla", 23
"luo", 23
"jotain", 23
