word,count
"[", 240
"]", 240
"_minä_", 120
"a", 7200
"aakkoset", 120
"aallot", 360
"aaltoja", 120
"aamiaista", 120
"aamuisella", 120
"aamulla", 120
"aamun", 360
"aamunkoittoa", 120
"aamunkoittoon", 120
"aamuruskon", 120
"aamusta", 120
"aapisensa", 120
"aapiset", 120
"aapistakaan", 120
"aarteen", 120
"aasia", 120
"aasiaan", 120
"aasialaiseen", 120
"aasiassa", 120
"aatelisen", 120
"aateliset", 120
"aatelisherrat", 120
"aatelisherroja", 120
"aatelismiehellä", 120
"aatelismiehet", 240
"aatelismies", 240
"aatelisneitejä", 120
"aateliston", 240
"aatelistossa", 120
"aatelistosta", 120
"aavikko", 120
"aavikkoa", 120
"aavikoilla", 120
"aavistaen", 360
"aavistus", 120
"aavojen", 120
"abide", 120
"about", 960
"accept", 120
"accepted", 240
"accepting", 120
"access", 1200
"accessed", 120
"accessible", 120
"accordance", 240
"active", 240
"actual", 120
"addition", 120
"additional", 480
"additions", 120
"address", 120
"addresses", 120
"adrianopolin", 120
"against", 120
"aged", 120
"agent", 120
"agree", 1080
"agreed", 120
"agreement", 2160
"aha", 120
"ahavoittuneet", 120
"ahdettu", 120
"ahdistaa", 360
"ahdistamana", 120
"ahdistanut", 120
"ahdisteli", 120
"ahdistelivat", 120
"ahdistettuna", 120
"ahdisti", 120
"ahdistusta", 120
"ahkerasti", 240
"ahmia", 120
"ahminut", 120
"ahnaimmat", 120
"ahnaita", 120
"ahnaitten", 120
"ahnas", 120
"ahneuttaan", 120
"ahtaassa", 240
"ai", 1200
"aidan", 600
"aiheita", 120
"aiheuttanut", 120
"aiheutuneen", 120
"aiheutunut", 120
"aijoin", 120
"aijon", 120
"aijot", 120
"aijotte", 120
"aijottiin", 120
"aika", 1320
"aikaa", 840
"aikaan", 1440
"aikaansa", 240
"aikaansaada", 120
"aikaisemmin", 120
"aikaisin", 120
"aikakaudella", 120
"aikakauden", 120
"aikakauskirjat", 120
"aikakautensa", 120
"aikalailla", 240
"aikana", 480
"aikansa", 120
"aikeensa", 120
"aikoen", 120
"aikoi", 480
"aikoihin", 120
"aikoina", 240
"aikoinaan", 120
"aikoivat", 240
"aikoja", 240
"aikonut", 240
"aina", 3840
"ainahan", 120
"ainaisen", 120
"ainakaan", 240
"ainakin", 1080
"ainoa", 720
"ainoakaan", 360
"ainoan", 240
"ainoana", 240
"ainoastaan", 2640
"ainoata", 240
"ainoatakaan", 480
"aiokaan", 120
"aisoihin", 120
"aita", 240
"aitoissa", 240
"aittoja", 120
"aivan", 3720
"aivanhan", 120
"aivankuin", 120
"aivasteli", 120
"ajaa", 360
"ajaja", 240
"ajajat", 240
"ajaksi", 120
"ajalla", 120
"ajamaan", 960
"ajan", 720
"ajanut", 120
"ajanutkaan", 120
"ajat", 120
"ajatellakaan", 360
"ajatelleet", 120
"ajatellen", 120
"ajatellessaan", 240
"ajatellut", 240
"ajatellutkaan", 240
"ajattelematta", 120
"ajattelemattomat", 120
"ajattelemattomuudellaan", 120
"ajattelemme", 120
"ajattelevat", 120
"ajattelevien", 120
"ajatteli", 480
"ajattelisin", 120
"ajatuksensa", 120
"ajatukset", 240
"ajatuksiaan", 120
"ajatuksiin", 120
"ajatuksiinsa", 600
"ajatuksissa", 120
"ajatuksistaan", 120
"ajatus", 240
"ajavat", 240
"ajettu", 120
"ajettunut", 120
"ajoi", 840
"ajoilta", 240
"ajoivat", 240
"ak", 120
"akat", 120
