word,count
"ja", 158640
"hän", 57960
"oli", 51600
"ei", 36240
"mutta", 31200
"on", 31080
"hänen", 26880
"että", 23160
"the", 21720
"he", 19440
"olivat", 18600
"niin", 18360
"kaikki", 17520
"joka", 17040
"jo", 16920
"kuin", 16320
"vielä", 15840
"of", 14520
"taras", 14280
"nyt", 13680
"vaan", 13440
"se", 12360
"kun", 11880
"olisi", 11160
"sillä", 10680
"sen", 10560
"gutenberg", 10440
"heidän", 10440
"project", 10440
"kasakat", 10440
"ollut", 10440
"ole", 10440
"jotka", 10200
"mitä", 9960
"to", 9720
"andrei", 9480
"or", 9360
"bulba", 9000
"you", 8640
"and", 8280
"eivät", 8160
"sitten", 7680
"voi", 7560
"kuinka", 7440
"koko", 7440
"a", 7200
"in", 7080
"ne", 6960
"tm", 6720
"hänet", 6480
"kasakkain", 6360
"vain", 6360
"eikä", 6240
"minä", 6120
"ovat", 6120
"häntä", 6120
"enää", 5880
"ostap", 5760
"this", 5760
"ettei", 5760
"hyvin", 5640
"with", 5640
"jos", 5640
"sitä", 5520
"juutalainen", 5400
"work", 5400
"paljon", 5400
"kasakka", 4800
"tai", 4680
"vanha", 4680
"heitä", 4680
"pani", 4560
"siellä", 4560
"sinä", 4440
"any", 4440
"siinä", 4440
"tuo", 4320
"hänelle", 4320
"pian", 4320
"maahan", 4320
"jonka", 4320
"sinne", 4320
"kyllä", 4320
"koshevoi", 4200
"missä", 4200
"heti", 4080
"kaksi", 4080
"äkkiä", 4080
"sanoi", 4080
"mitään", 3960
"huusi", 3960
"siihen", 3960
"kauan", 3960
"siitä", 3840
"aina", 3840
"kanssa", 3840
"works", 3840
"en", 3840
"kukaan", 3840
"silloin", 3840
"vastaan", 3840
"seisoi", 3720
"aivan", 3720
"no", 3720
"jankel", 3600
"virkkoi", 3600
"heidät", 3600
"koskentakaiset", 3360
"olet", 3240
"panit", 3240
"itse", 3240
"electronic", 3240
"mikä", 3240
"tämä", 3120
"te", 3120
"kerran", 3120
"for", 3120
"niinkuin", 3000
"puhui", 3000
"katseli", 3000
"jota", 3000
"alkoi", 3000
"ikäänkuin", 3000
"miehen", 2880
"me", 2880
"is", 2880
"koskaan", 2880
"myös", 2760
"kasakan", 2760
"olla", 2760
"luo", 2760
"jotain", 2760
"ennen", 2760
"e", 2760
"taas", 2760
"kaiken", 2760
"mies", 2760
"samassa", 2760
"miehet", 2640
"are", 2640
"ainoastaan", 2640
"olemme", 2640
"pojat", 2640
"foundation", 2640
"not", 2640
"by", 2640
"kaupungin", 2640
"kasakoita", 2520
"terms", 2520
"maailmassa", 2520
"joku", 2520
"tuossa", 2520
"tuli", 2520
"heille", 2520
"juutalaiset", 2520
"alkoivat", 2520
"lausui", 2520
"if", 2520
"minun", 2520
"varten", 2400
"vihdoin", 2400
"edessään", 2400
"sinut", 2400
"edessä", 2400
"täällä", 2400
"lähteä", 2400
"mukaan", 2400
"siis", 2400
"kuitenkin", 2400
"yhä", 2280
"suoraan", 2280
"huusivat", 2280
"vaikka", 2280
"alas", 2280
"kysyi", 2280
"älä", 2280
"jumala", 2280
"olen", 2280
"voinut", 2280
"meidän", 2280
"huomasi", 2280
"puolalaiset", 2280
"be", 2280
"päänsä", 2280
"muutamat", 2160
"takaa", 2160
"pois", 2160
"muita", 2160
"niitä", 2160
"tunsi", 2160
"all", 2160
"saa", 2160
"olleet", 2160
"tässä", 2160
"andrein", 2160
"agreement", 2160
"äiti", 2040
"toinen", 2040
"sisään", 2040
"selkään", 2040
"sinun", 2040
"do", 2040
"näkyi", 2040
"yksi", 2040
"oikein", 2040
"venäjän", 2040
"kidrjaaga", 1920
"ehkä", 1920
"kiinni", 1920
"vasta", 1920
"minua", 1920
"kolme", 1920
"teille", 1920
"miehiä", 1920
"tullut", 1920
"tarttui", 1920
"kultarahaa", 1920
"heistä", 1920
"license", 1920
